trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-12-02,2021-12-01,buy,159851.SZ,1.199,0.2780094523,0.3333333333,entry,1,1,,,,
2021-12-02,2021-12-01,buy,512660.SH,1.453,0.2294104152,0.3333333333,entry,2,2,,,,
2021-12-02,2021-12-01,buy,516150.SH,1.63,0.2044989775,0.3333333333,entry,3,3,,,,
2021-12-10,2021-12-09,sell,516150.SH,1.611,0.2044989775,0.3294478528,weak,28,25,-0.01165644172,8,-0.03865030675,0.03435582822
2021-12-10,2021-12-09,buy,512690.SH,1.385,0.2378684857,0.3294478528,entry,1,1,,,,
2021-12-13,2021-12-10,sell,512660.SH,1.426,0.2294104152,0.3271392521,weak,27,24,-0.01858224363,11,-0.0316586373,0.02477632485
2021-12-13,2021-12-10,buy,512980.SH,0.78,0.4194092976,0.3271392521,entry,2,4,,,,
2021-12-31,2021-12-30,sell,512690.SH,0.976,0.2378684857,0.2321596421,weak,27,25,-0.2953068592,21,-0.05559566787,0.03393501805
2021-12-31,2021-12-30,buy,512660.SH,1.458,0.1592315789,0.2321596421,entry,1,2,,,,
2022-01-10,2022-01-07,sell,512660.SH,1.33,0.1592315789,0.211778,weak,22,22,-0.0877914952,10,-0.08573388203,0.006172839506
2022-01-10,2022-01-07,buy,516970.SH,1.262,0.1678114104,0.211778,entry,1,1,,,,
2022-01-18,2022-01-17,sell,516970.SH,1.2,0.1678114104,0.2013736925,weak,25,21,-0.04912836767,8,-0.06022187005,0.009508716323
2022-01-18,2022-01-17,buy,159819.SZ,1.039,0.193814911,0.2013736925,entry,1,2,,,,
2022-01-25,2022-01-24,sell,512980.SH,0.802,0.4194092976,0.3363662567,weak,22,21,0.02820512821,43,0,0.1576923077
2022-01-25,2022-01-24,buy,516970.SH,1.236,0.2721409844,0.3363662567,entry,1,3,,,,
2022-02-08,2022-02-07,sell,159819.SZ,0.919,0.193814911,0.1781159032,weak,26,24,-0.1154956689,21,-0.1212704524,0.02598652551
2022-02-08,2022-02-07,buy,512800.SH,1.194,0.1491757983,0.1781159032,entry,1,2,,,,
2022-02-25,2022-02-24,sell,159851.SZ,1.137,0.2780094523,0.3160967473,weak,23,23,-0.05170975813,85,-0.07923269391,0.09007506255
2022-02-25,2022-02-24,sell,516970.SH,1.211,0.2721409844,0.3295627321,weak,20,20,-0.02022653722,31,-0.04773462783,0.05906148867
2022-02-25,2022-02-24,buy,515220.SH,2.088,0.1546119443,0.3228297397,entry,1,1,,,,
2022-02-25,2022-02-24,buy,515790.SH,1.541,0.2094936662,0.3228297397,entry,2,2,,,,
2022-03-02,2022-03-01,sell,512800.SH,1.174,0.1491757983,0.1751323873,weak,23,23,-0.01675041876,22,-0.02847571189,0.03601340034
2022-03-02,2022-03-01,buy,159995.SZ,1.474,0.118814374,0.1751323873,entry,2,2,,,,
2022-03-18,2022-03-17,sell,515220.SH,2.028,0.1546119443,0.313553023,weak,24,22,-0.02873563218,21,-0.09674329502,0.1254789272
2022-03-18,2022-03-17,buy,159992.SZ,1.072,0.2924934916,0.313553023,entry,1,1,,,,
2022-03-23,2022-03-22,sell,515790.SH,1.5,0.2094936662,0.3142404994,weak,26,24,-0.02660609994,26,-0.07073329007,0.0564568462
2022-03-23,2022-03-22,buy,515220.SH,2.23,0.1409150221,0.3142404994,entry,1,1,,,,
2022-03-24,2022-03-23,sell,159995.SZ,1.368,0.118814374,0.1625380636,weak,26,25,-0.07191316147,22,-0.1207598372,0.0006784260516
2022-03-24,2022-03-23,buy,512200.SH,0.813,0.1999238175,0.1625380636,entry,1,1,,,,
